#{"t_start": 1764689908.831953, "env_id": "None"}
r,l,t,r,r_stochastic,r_stochastic_1seed,power,power_floris_opt,power_floris_opt_stochastic,power_floris_opt_stochastic_1seed,yaw_angles_actual,yaw_angles,yaw_angles_floris_opt,rel_yaw_angles_actual,rel_yaw_angles,rel_yaw_angles_floris_opt,wind_dir,wind_spd,turb_int,simseed,DEL
-6.27951368354113,1,460.043867,-6.27951368354113,-6.27951368354113,-8.423739119636744,"[1813.837796194633, 2159.731728974688, 1126.3123297167267]",[1916.14156164 1196.68264578 2328.76285143],[1916.14156164 1196.68264578 2328.76285143],[1862.12973419 1264.49068709 2442.37945473],[116.70174371  82.27369839  53.3343338 ],[109.07102926  77.37070853  50.        ],[90.   61.25 60.  ],[-26.70174371   7.72630161  36.6656662 ],[-19.07102926  12.62929147  40.        ],[ 0.   28.75 30.  ],90.0,10.0,0.05,184625386792,"{'RotTorq_[kN-m]': 176.91905251327248, 'RootMxc1_[kN-m]': 5656.493714314471, 'RootMyc1_[kN-m]': 2472.7606483980194, 'RootMzc1_[kN-m]': 77.05363309684977, 'TwrBsMxt_[kN-m]': 2711.9214088011718, 'TwrBsMyt_[kN-m]': 5793.491520728181, 'TwrBsMzt_[kN-m]': 842.6980606962115, 'YawBrMxn_[kN-m]': 161.47023126629486, 'YawBrMyn_[kN-m]': 889.7541345657941, 'YawBrMzn_[kN-m]': 842.6299270619387}"
-14.36428810663476,1,460.064008,-14.36428810663476,-14.36428810663476,-24.68832785408842,"[1919.3585024991169, 1783.7687549374214, 1518.7424891241037]",[2101.85434646 1520.50561821 2475.41120007],[2101.85434646 1520.50561821 2475.41120007],[2493.15482997 1729.91686394 2710.60750583],[132.          62.64494779  55.3343338 ],[124.64672463  57.74195792  52.        ],[92.   65.75 64.5 ],[-40.          29.35505221  36.6656662 ],[-32.64672463  34.25804208  40.        ],[ 0.   26.25 27.5 ],92.0,10.0,0.075,2315608794146,"{'RotTorq_[kN-m]': 225.01461702106482, 'RootMxc1_[kN-m]': 5854.245475062994, 'RootMyc1_[kN-m]': 3148.4511542986634, 'RootMzc1_[kN-m]': 74.96060307811473, 'TwrBsMxt_[kN-m]': 4065.629330565161, 'TwrBsMyt_[kN-m]': 6016.611898725213, 'TwrBsMzt_[kN-m]': 1121.9549233358748, 'YawBrMxn_[kN-m]': 243.63076125990634, 'YawBrMyn_[kN-m]': 1017.9955045071779, 'YawBrMzn_[kN-m]': 1121.7603162180699}"
-12.764031720821073,1,460.064481,-12.764031720821073,-12.764031720821073,-10.181315293768757,"[2961.3884374628205, 1136.4392383676345, 642.4232329401499]",[2085.67605658 1025.04210333 2323.10804994],[2085.67605658 1025.04210333 2323.10804994],[2075.9665766   943.74632416 2257.86483741],[122.59862858  97.99125968  81.33678436],[114.96791413  93.08826981  78.00245057],[90.  57.5 60. ],[-32.59862858  -7.99125968   8.66321564],[-24.96791413  -3.08826981  11.99754943],[ 0.  32.5 30. ],90.0,10.0,0.025,3502756693359,"{'RotTorq_[kN-m]': 89.63762260327155, 'RootMxc1_[kN-m]': 5889.069811593491, 'RootMyc1_[kN-m]': 954.6613351151872, 'RootMzc1_[kN-m]': 62.089458330414345, 'TwrBsMxt_[kN-m]': 3072.411266563604, 'TwrBsMyt_[kN-m]': 3670.896662215188, 'TwrBsMzt_[kN-m]': 417.08377004090056, 'YawBrMxn_[kN-m]': 137.69483451395735, 'YawBrMyn_[kN-m]': 481.66754998830356, 'YawBrMzn_[kN-m]': 417.24203516512176}"
-16.105965295985612,1,460.064789,-16.105965295985612,-16.105965295985612,-8.114274353038539,"[2937.468555289989, 1262.7135870390348, 2008.310382771629]",[2464.3011868  2170.85265939 2765.24422384],[2464.3011868  2170.85265939 2765.24422384],[2181.96403368 1856.37572929 2718.41432629],[ 91.03607326  75.92173684 106.07935273],[ 83.40535881  71.01874698 102.74501894],[96.   76.   74.75],[  4.96392674  20.07826316 -10.07935273],[12.59464119 24.98125302 -6.74501894],[ 0.   20.   21.25],96.0,10.0,0.075,4134047571359,"{'RotTorq_[kN-m]': 236.5728855801834, 'RootMxc1_[kN-m]': 5885.542362253448, 'RootMyc1_[kN-m]': 2881.3733135785783, 'RootMzc1_[kN-m]': 84.44914659745046, 'TwrBsMxt_[kN-m]': 1972.1960976748207, 'TwrBsMyt_[kN-m]': 6667.773614997367, 'TwrBsMzt_[kN-m]': 1031.4457837109987, 'YawBrMxn_[kN-m]': 260.72545319445504, 'YawBrMyn_[kN-m]': 996.141871231947, 'YawBrMzn_[kN-m]': 1031.6603244118899}"
-1.0250019108658142,1,460.065093,-1.0250019108658142,-1.0250019108658142,-3.4734026097994595,"[2859.0820298864005, 1118.9139296281014, 2611.55461993769]",[2312.64067746 1761.73958374 2583.4128246 ],[2312.64067746 1761.73958374 2583.4128246 ],[2370.51491614 1855.35178238 2600.80155418],[107.02025118  60.35920598  78.51155994],[99.38953674 55.45621611 75.17722614],[94. 69. 69.],[-13.02025118  33.64079402  15.48844006],[-5.38953674 38.54378389 18.82277386],[ 0. 25. 25.],94.0,10.0,0.025,522025119249,"{'RotTorq_[kN-m]': 83.85710489157573, 'RootMxc1_[kN-m]': 5752.377343414116, 'RootMyc1_[kN-m]': 1726.171485204716, 'RootMzc1_[kN-m]': 77.00474840210137, 'TwrBsMxt_[kN-m]': 1386.379722493015, 'TwrBsMyt_[kN-m]': 2829.6463942354544, 'TwrBsMzt_[kN-m]': 659.8052103930673, 'YawBrMxn_[kN-m]': 109.93522178398497, 'YawBrMyn_[kN-m]': 656.2092018054965, 'YawBrMzn_[kN-m]': 659.7684654434883}"
-8.701257086604489,1,460.065409,-8.701257086604489,-8.701257086604489,-4.925095511495821,"[1643.7334874319467, 1040.808020301467, 2361.229011680159]",[1865.17863093 1251.76870301 2409.71202455],[1865.17863093 1251.76870301 2409.71202455],[1823.37666295 1200.50761522 2283.26858889],[86.97596251 54.90298986 53.3343338 ],[79.34524806 50.         50.        ],[90.   62.5  61.25],[ 3.02403749 35.09701014 36.6656662 ],[10.65475194 40.         40.        ],[ 0.   27.5  28.75],90.0,10.0,0.075,5246350017374,"{'RotTorq_[kN-m]': 274.35917060187137, 'RootMxc1_[kN-m]': 5625.218267874927, 'RootMyc1_[kN-m]': 3282.6821517649005, 'RootMzc1_[kN-m]': 77.11285853548827, 'TwrBsMxt_[kN-m]': 3942.555453603492, 'TwrBsMyt_[kN-m]': 7918.434553581315, 'TwrBsMzt_[kN-m]': 1190.5749933268755, 'YawBrMxn_[kN-m]': 306.57687096804256, 'YawBrMyn_[kN-m]': 1082.2881505615899, 'YawBrMzn_[kN-m]': 1190.8723691952216}"
-3.471472209632313,1,460.065836,-3.471472209632313,-3.471472209632313,-4.481437133022741,"[3039.666545813309, 1505.6105948366815, 1298.8619603516063]",[2260.71640836 1335.92061983 2457.67586229],[2260.71640836 1335.92061983 2457.67586229],[2243.45651735 1364.61953967 2510.25207271],[108.3007278   91.92278429  80.15748055],[100.67001335  87.01979442  76.82314675],[92.  62.  64.5],[-16.3007278    0.07721571  11.84251945],[-8.67001335  4.98020558 15.17685325],[ 0.  30.  27.5],92.0,10.0,0.025,8617329640652,"{'RotTorq_[kN-m]': 93.36020896434047, 'RootMxc1_[kN-m]': 5707.66764478853, 'RootMyc1_[kN-m]': 1425.8086341918315, 'RootMzc1_[kN-m]': 75.51918743552353, 'TwrBsMxt_[kN-m]': 896.8308337549901, 'TwrBsMyt_[kN-m]': 2693.137827144386, 'TwrBsMzt_[kN-m]': 375.80507067652144, 'YawBrMxn_[kN-m]': 81.90890629009857, 'YawBrMyn_[kN-m]': 508.4002122403972, 'YawBrMzn_[kN-m]': 375.7246912492447}"
-10.674101113425756,1,460.066132,-10.674101113425756,-10.674101113425756,-6.083588514612767,"[1716.9104788794862, 1229.311071400116, 2462.317729608127]",[2144.91625891 1446.31363359 2463.60901459],[2144.91625891 1446.31363359 2463.60901459],[1998.91194914 1322.6376971  2437.33657433],[98.74543656 56.90298986 55.3343338 ],[91.11472211 52.         52.        ],[92.  64.5 64.5],[-6.74543656 35.09701014 36.6656662 ],[ 0.88527789 40.         40.        ],[ 0.  27.5 27.5],92.0,10.0,0.05,9432201041264,"{'RotTorq_[kN-m]': 132.4145822129608, 'RootMxc1_[kN-m]': 5654.559839266784, 'RootMyc1_[kN-m]': 2385.9554957500973, 'RootMzc1_[kN-m]': 74.10786022123945, 'TwrBsMxt_[kN-m]': 2309.785864294155, 'TwrBsMyt_[kN-m]': 4476.4121842951745, 'TwrBsMzt_[kN-m]': 918.066063428434, 'YawBrMxn_[kN-m]': 161.00923958165174, 'YawBrMyn_[kN-m]': 834.2179583728258, 'YawBrMzn_[kN-m]': 918.2715457995574}"
-17.3528906789633,1,460.066416,-17.3528906789633,-17.3528906789633,-9.816045081832007,"[2630.025611272671, 1096.2787126845642, 2389.9107591669053]",[2464.3011868  2170.85265939 2765.24422384],[2464.3011868  2170.85265939 2765.24422384],[2366.67358585 1869.93041071 2545.32865284],[118.1789864   60.90298986  80.41154296],[110.54827195  56.          77.07720917],[96.   76.   74.75],[-22.1789864   35.09701014  15.58845704],[-14.54827195  40.          18.92279083],[ 0.   20.   21.25],96.0,10.0,0.075,8596449138234,"{'RotTorq_[kN-m]': 324.8162252199547, 'RootMxc1_[kN-m]': 5895.835092737964, 'RootMyc1_[kN-m]': 3248.936428866456, 'RootMzc1_[kN-m]': 82.1564119963816, 'TwrBsMxt_[kN-m]': 5582.921105843804, 'TwrBsMyt_[kN-m]': 7841.665425906663, 'TwrBsMzt_[kN-m]': 1101.4966329335966, 'YawBrMxn_[kN-m]': 357.8797869235521, 'YawBrMyn_[kN-m]': 997.9193290781145, 'YawBrMzn_[kN-m]': 1100.9945763085532}"
-2.0787314926666554,1,460.066719,-2.0787314926666554,-2.0787314926666554,-3.110491567722127,"[3160.7286839609874, 1118.5388258949095, 1041.6040433133426]",[2085.67605658 1025.04210333 2323.10804994],[2085.67605658 1025.04210333 2323.10804994],[2061.00564369 1053.88689376 2376.79757355],[82.13000707 93.82640519 94.97084912],[74.49929262 88.92341532 91.63651533],[90.  57.5 60. ],[ 7.86999293 -3.82640519 -4.97084912],[15.50070738  1.07658468 -1.63651533],[ 0.  32.5 30. ],90.0,10.0,0.025,3479641417370,"{'RotTorq_[kN-m]': 111.90479779842383, 'RootMxc1_[kN-m]': 5997.926330262001, 'RootMyc1_[kN-m]': 1252.8299578253973, 'RootMzc1_[kN-m]': 66.94462412936404, 'TwrBsMxt_[kN-m]': 816.439162651065, 'TwrBsMyt_[kN-m]': 2616.1046140104613, 'TwrBsMzt_[kN-m]': 411.9483889702022, 'YawBrMxn_[kN-m]': 115.43420678229732, 'YawBrMyn_[kN-m]': 511.6152201379514, 'YawBrMzn_[kN-m]': 412.1030334992497}"
